ID	cluster
GSM1369796	A
GSM1369797	A
GSM1369798	A
GSM1369799	B
GSM1369800	A
GSM1369801	B
GSM1369802	A
GSM1369803	B
GSM1369804	B
GSM1369805	A
GSM1369806	A
GSM1369807	B
GSM1369808	C
GSM1369809	B
GSM1369810	A
GSM1369811	B
GSM1369812	A
GSM1369813	A
GSM1369814	B
GSM1369815	A
GSM1369816	A
GSM1369817	B
GSM1369818	B
GSM1369819	A
GSM1369820	B
GSM1369821	B
GSM1369822	B
GSM1369823	B
GSM1369824	C
GSM1369825	A
GSM1369826	B
GSM1369827	B
GSM1369828	B
GSM1369829	C
GSM1369830	C
GSM1369831	B
GSM1369832	A
GSM1369833	A
GSM1369834	C
GSM1369835	C
GSM1369683	A
GSM1369684	A
GSM1369685	B
GSM1369686	A
GSM1369689	B
GSM1369690	B
GSM1369691	A
GSM1369692	B
GSM1369694	A
GSM1369696	C
GSM1369697	C
GSM1369702	B
GSM1369707	A
GSM1369708	A
GSM1369709	B
GSM1369710	A
GSM1369711	A
GSM1369712	A
GSM1369713	A
GSM1369714	A
GSM1369716	B
GSM1369720	A
GSM1369721	B
GSM1369724	A
GSM1369726	B
GSM1369727	B
GSM1369728	B
GSM1369729	C
GSM1369730	C
GSM1369731	C
GSM1369732	C
GSM1369734	C
GSM1369735	C
GSM1369736	C
GSM1369738	C
GSM1369739	A
GSM1369742	C
GSM1369748	C
GSM1369749	C
GSM1369750	C
GSM1369751	C
GSM1369753	C
