,logFC,AveExpr,t,P.Value,adj.P.Val,B
ABHD8,0.05192719126853,7.23415849563281,1.32646163996808,0.186642554224325,0.667798234583347,-4.95741621227792
ABL1,-0.0505679623645205,7.73072925268055,-2.00338328051762,0.0468831234218649,0.450350450459773,-3.95628610400737
ACD,0.0251023737375071,7.67853074593653,0.716444784777948,0.474797392598456,0.851337676757661,-5.51775725517348
AKT1,-0.070049587448958,9.26388945485114,-1.43987516164701,0.151924175717037,0.627358143236139,-4.81712091226738
AKT2,-0.0160667933799621,7.95913999780798,-0.72042771598054,0.472349327663881,0.84980021619892,-5.51517269772396
AKT3,-0.255794103585192,6.78606926840308,-3.08777162664934,0.00239094103485241,0.210706422626994,-1.56902640046515
ANAPC10,-0.131291631698623,6.14349220977142,-1.82056216657144,0.0706068202426845,0.510760998029165,-4.26510514033112
ANAPC2,-0.026404388671196,7.64607483390234,-0.377701537982686,0.706170254944696,0.93705957348302,-5.68536379732787
ANAPC5,0.0761871055262784,9.58117664601059,1.8198680862278,0.070713037429564,0.511067567926839,-4.26622403408119
ARG2,-0.0661488245465636,6.40786377132404,-1.23339321351677,0.219300669520875,0.702774786251022,-5.06415790208595
ARHGAP28,0.00765186776115723,4.91586701100767,0.350359511885745,0.726545704256459,0.941403512836409,-5.6943783719017
ARHGEF10L,0.0920488594135467,8.54778010751745,1.60900948514528,0.109653975793792,0.57505121470515,-4.58719823096135
ARID1A,-0.0428595192621373,9.18676749064727,-1.25639251536458,0.210868449078968,0.695497028302751,-5.03848531374308
ASF1A,-0.167435957816426,7.48801628290467,-1.41642751343472,0.158661703954421,0.638557289130081,-4.84704356406127
ATM,0.0841904564916138,8.2007199975326,0.939803875294037,0.348783910030949,0.786534633830962,-5.35090413581704
ATR,0.0246216283756162,6.71606155431267,0.362008085128499,0.717840220215565,0.94055067554731,-5.6906205037172
ATXN7L3B,-0.0147839732494308,8.34728131476356,-0.308794669542636,0.757893364839431,0.951959208809217,-5.70678725993712
B2M,-0.00219812401795139,12.9851236694116,-0.0447986095936798,0.964325633018233,0.992457653809829,-5.74908405732106
BCL6,0.017189781646417,9.69392774272375,0.298410021045749,0.765790855064664,0.954252233715411,-5.70964352581382
BMPR1A,-0.0200102672862492,5.58517780868159,-0.36124711597783,0.718407811966294,0.94055067554731,-5.69086974002904
BRCA2,-0.0456635114153103,4.96866106441742,-1.65239014420217,0.100484120700743,0.560851962185047,-4.52426077517798
BTRC,-0.0123839544287314,7.05548495914586,-0.463207332788368,0.64386702987555,0.917840145472719,-5.65281389879559
CABIN1,0.012895196801515,7.87090015275087,0.235654953105392,0.814012245749105,0.963531854002899,-5.72482717135919
CACNA1D,-0.0141527380809556,6.00501973149482,-0.762630324653501,0.446845684835554,0.837232571314492,-5.48691365263001
CALM1,-0.0121321526326774,8.06181331815222,-0.309020761558238,0.757721702697765,0.951959208809217,-5.70672398878458
CALML3,0.000853559565997308,6.42178623244158,0.0244531229285313,0.980522702553498,0.995962172937033,-5.74972268980224
CALML4,-0.0953765606325288,8.35280316544999,-1.98788296745042,0.0485900623263099,0.458795962645701,-3.98355418175396
CALML5,-0.0616483039578757,6.22758333859988,-1.66792422156942,0.0973545734466463,0.553237043782784,-4.50133202700878
CALR,-0.0515392465975371,9.17550533682459,-1.33587497586956,0.18355290170103,0.662870539586781,-4.94619808397878
CAPN1,-0.0262473628908353,8.80435381096,-0.618381726417307,0.537233533602651,0.88145484796278,-5.57690058030692
CAPN2,0.043409630816706,9.8438270419851,1.42567475191786,0.155977790177079,0.633885381137103,-4.83529971707723
CBX2,0.0290893651147366,6.71028222942631,0.789107569745153,0.431257370271603,0.83236455227146,-5.4683701530833
CBX4,-0.00360570341333588,7.43224550063972,-0.0778053025280395,0.938083515145174,0.987246787569595,-5.7472498425067
CBX6,0.0278351602780678,8.52006636724781,0.618508729970653,0.537150056643567,0.88145484796278,-5.57682956959115
CBX8,0.0268975775628393,7.06465652366938,0.773729016843938,0.440272330613689,0.834402455452042,-5.47921699590472
CCNA1,0.0386287376377927,5.52106510265495,1.0197389114107,0.309445077387691,0.765273527686618,-5.28038808110626
CCNA2,-0.0509805323818826,6.01110355637003,-1.18416565322513,0.23816451628804,0.718288253995584,-5.11754645181219
CCNB1,-0.0283054235943849,5.63010100709054,-1.02372271105752,0.307565116610203,0.76405646869646,-5.27672533216164
CCNB2,0.0631997694502653,5.43646230883748,1.24520435335931,0.214940310287959,0.699392514291676,-5.05103186367449
CCND1,-0.0563519885446819,6.31323606510908,-1.80531273940513,0.0729711386973088,0.513805658906098,-4.28959422938974
CCND2,-0.0486217619618756,7.38424857199832,-0.667445358352037,0.505482550414162,0.866223266407489,-5.54838894463617
CCND3,-0.0186811061668539,10.9554433132811,-0.333532670647782,0.739184073444257,0.94487969723598,-5.69959014427725
CCNE1,-0.0330161019727662,5.70441174559843,-0.983022032327517,0.327132161916771,0.775145269657869,-5.31348315698001
CCNE2,-0.0132283170696814,4.93891302919805,-0.269993723767859,0.787525070712337,0.958527523104505,-5.71696048750421
CDC16,0.0474911130962301,8.3265016426729,1.24085273799627,0.216539412666657,0.699653295995396,-5.0558821704121
CDC23,-0.00507753597422855,7.2596942626239,-0.0903365216419263,0.928136707013779,0.986276137022507,-5.74629484236716
CDC25A,0.0116692980709026,6.17534121968258,0.486398019062647,0.627373631722925,0.912646452939731,-5.64284798594432
CDC27,-0.0207680355963262,7.42715982788894,-0.535526625251007,0.593055132792771,0.901430091095088,-5.62013353139886
CDK1,0.03679718602252,4.65925864255064,0.801227016358381,0.424229668032215,0.828072610283838,-5.45967296242667
CDK2,0.040021163354174,7.02776744416988,1.41480588645422,0.159135980641554,0.638845238266021,-4.84909535144392
CDK4,0.000989750099614994,8.35117163282275,0.0161012729157255,0.987174353960108,0.99731415431802,-5.74987621356209
