,logFC,AveExpr,t,P.Value,adj.P.Val,B
FOXO3,0.258994547634231,8.65317241034201,4.67874240004568,6.25654829596955e-06,0.0372791786947919,3.46678969458603
TRIM44,0.264846554055497,8.97800156933514,4.49181497661364,1.37474965996999e-05,0.0372791786947919,2.79192634463928
UBE2E1,-0.166657781073894,9.67453395417097,-4.49116405878532,1.37847032987322e-05,0.0372791786947919,2.78961184062129
CBX5,-0.242333356852222,7.63702827738119,-4.47739343999737,1.45949471092395e-05,0.0372791786947919,2.74070540923581
SLC25A14,0.138119622714234,6.69905891016605,4.44354128791353,1.67863736918191e-05,0.0372791786947919,2.62095574121567
RAB2A,-0.212829244721927,8.49392109839449,-4.24172061298726,3.80607456847772e-05,0.0704377533472944,1.92131120032019
CYSLTR2,-0.286120542598921,6.64537043836066,-4.13698026337119,5.75960143179382e-05,0.0913637347123408,1.56805993434876
MMP3,0.115355432473787,5.29658070346623,4.08666965596973,7.00934009032252e-05,0.0972896404536766,1.40082537374523
TRPM6,0.15503153876123,6.09665061056404,4.00439899035706,9.62796177783382e-05,0.113728324808383,1.13082114486225
APCS,-0.103898491410344,6.01688120235937,-3.98823180607215,0.000102421041794293,0.113728324808383,1.07827226451459
HIST1H2BO,0.229197336585925,6.37034773738096,3.9338139306132,0.000125952872661137,0.1258321497452,0.90263785648017
SNX5,0.135077148758896,9.1317122971859,3.91350991742976,0.000135985752606485,0.1258321497452,0.837599609530995
PAPD7,0.240720271697651,8.34734860148366,3.87367614170569,0.000157918919466663,0.133277527414386,0.71078701829951
UBQLN2,-0.312861710542297,9.12087668305443,-3.82472791553747,0.000189485854915301,0.133277527414386,0.556388736089827
CNR1,0.100866116906758,5.21863488092976,3.82373381114947,0.000190185143354391,0.133277527414386,0.553269439228407
SCD5,-0.228336160256534,6.77403276486499,-3.81381236004508,0.000197299733415515,0.133277527414386,0.522173894173043
PCYOX1L,0.154662263058432,8.70543057040651,3.79801004075273,0.000209155191490786,0.133277527414386,0.472781807694314
ATP5A1,0.189291343812874,11.0928506332509,3.78920889532468,0.000216047865044934,0.133277527414386,0.445344860515893
ZNF264,-0.188113778350379,7.27723927275533,-3.7729935293263,0.000229314553363132,0.134016252660222,0.394929996233282
LRRC23,0.112230518810446,6.80420690751533,3.70876830963512,0.000289834333838105,0.15697699016225,0.196981292026108
LPIN1,0.185851752523129,7.21121256840277,3.66619879839978,0.000337962970028123,0.15697699016225,0.067312395739811
DYNLRB1,-0.211562731437468,9.58739702100593,-3.65868962015532,0.00034720022723472,0.15697699016225,0.0445667721356413
CYP4F2,-0.167219960864879,5.50163828945917,-3.61968773698092,0.000399137944468609,0.15697699016225,-0.072952647199048
HLA-DMB,0.164435422743784,11.6303675774791,3.6149723014334,0.000405892207893294,0.15697699016225,-0.0870905434286495
HIPK1,-0.124830001299085,9.83841837554703,-3.60758255315058,0.000416694330314249,0.15697699016225,-0.109215922916706
STMN4,0.112596875671674,6.14766578418972,3.60753212078978,0.000416768973729656,0.15697699016225,-0.109366791841232
SEC22B,-0.315936449689149,9.44849159016108,-3.597335351832,0.000432122635313242,0.15697699016225,-0.139834633555903
DMD,-0.0523332647813106,5.19474387121487,-3.59373838292235,0.000437664807319651,0.15697699016225,-0.150565282296884
LST1,0.151273123223881,11.5702551704298,3.57276692976592,0.000471334737454217,0.15697699016225,-0.212950866411402
PSMB4,0.197228968827719,10.2851594735991,3.56552830356399,0.000483512340788556,0.15697699016225,-0.234413786068362
ADAM11,0.127560455549518,7.11275724219925,3.55859218851076,0.000495458488533109,0.15697699016225,-0.254945766192895
