"ID"	"condition"	"MAP3K3"	"FOXO3"	"UBB"	"AKT3"	"UBE2E1"
"GSM1369756"	"Control"	9.22132933054175	8.99960832325723	12.3754266617097	6.8997318435616	9.90241268614022
"GSM1369757"	"Control"	9.3708729510082	8.17805277147195	11.3699539475615	6.76147432779971	9.7354669390649
"GSM1369758"	"Control"	8.59967828042249	8.38148216622312	12.1545883246529	6.64626358259227	9.77100632058145
"GSM1369759"	"Control"	8.73953466211059	8.60744886772624	11.8377888357008	7.93886624992497	9.95415470137318
"GSM1369760"	"Control"	8.14994179100022	8.68128290649973	13.0002175740261	7.6409758334881	10.1823051147309
"GSM1369761"	"Control"	9.26228220727627	8.58016427598251	11.7274876767142	6.76359926057758	9.63481682598824
"GSM1369762"	"Control"	8.70474661733243	8.70347716106447	12.3957705716843	6.58043065743417	9.85223304639124
"GSM1369763"	"Control"	9.27835007935461	8.32774146265497	12.1685633297847	7.91632208041206	9.88638103828233
"GSM1369764"	"Control"	8.95567694392087	8.39913028707856	12.5501054154033	7.91849583298311	9.923015367538
"GSM1369765"	"Control"	8.38722310079513	8.33210124306144	13.2932485697558	7.08407346604038	10.0889942234328
"GSM1369766"	"Control"	8.53899108141633	8.39802224147179	12.5739050857393	7.1160807088661	9.4602255494651
"GSM1369767"	"Control"	8.68863701970755	8.74018024087746	12.2474777326213	7.10556237440485	9.79862732639871
"GSM1369768"	"Control"	9.37887189662789	8.11733767056461	12.1128562667492	6.78458813494878	9.55406648462086
"GSM1369769"	"Control"	8.67890411039838	8.36164234795956	11.7374380168458	7.49671141614436	9.86631759071236
"GSM1369770"	"Control"	8.97292877483728	8.8445757652321	12.6024762166104	6.96739381468324	9.95910992484069
"GSM1369771"	"Control"	8.9362157378117	9.09263772705165	12.8608917144247	7.13570001373286	9.97855417745032
"GSM1369772"	"Control"	9.06186490369774	9.02731567660121	12.5501054154033	6.21453560130041	10.0053809912578
"GSM1369773"	"Control"	9.56337725793183	8.47261739842029	12.0760004903051	7.14022241492002	9.8398398469539
"GSM1369774"	"Control"	8.96379755490298	8.13023267130086	13.0671552119778	7.06820967028716	9.55990637586875
"GSM1369775"	"Control"	8.82341478021962	8.27131431964751	12.6520592921647	7.83962740803579	9.97526496834025
"GSM1369776"	"Control"	9.38191697674996	8.25594869714807	12.1685633297847	7.15584397817958	9.94791371053135
"GSM1369777"	"Control"	9.31878122495674	8.51190985993071	12.5278949733193	6.73942112968343	9.75779674709652
"GSM1369778"	"Control"	8.66404779323932	8.3192300077281	12.2149723821581	7.53692131400512	9.91502265011792
"GSM1369779"	"Control"	8.52256094014586	8.21640955928469	12.1405056199457	7.02059582156647	10.001637706119
"GSM1369780"	"Control"	8.96308898502414	8.36634155902127	12.7667283782769	6.87475543468559	9.71148183196136
"GSM1369781"	"Control"	8.97661443305335	8.73889841993656	12.279693932252	6.80303766721447	9.65912558825535
"GSM1369782"	"Control"	8.77038601647005	8.47483738493982	12.4848447429126	7.16834430801097	9.6835807046576
"GSM1369783"	"Control"	8.9297929335799	8.26985849526993	12.4848447429126	7.26115468784768	9.8188683009546
"GSM1369784"	"Control"	9.33218638862277	8.72667818787659	12.0508761796032	7.13370264699422	9.87279441594416
"GSM1369785"	"Control"	8.66526361981272	8.72173059547656	12.279693932252	6.29252870847283	9.86181812915964
"GSM1369786"	"Control"	9.09691446443433	8.5975371323515	11.8377888357008	6.34327390219999	9.76803119397234
"GSM1369787"	"Control"	9.06839004505328	8.420944277298	12.0871170771795	6.54831217892926	10.0635031054083
"GSM1369788"	"Control"	9.21879506726912	7.52319474143506	11.2368855540132	6.5070026554532	9.86950698777274
"GSM1369789"	"Control"	9.16059404251067	8.24454359117131	12.7667283782769	6.46727205340205	9.81478516347533
"GSM1369790"	"Control"	9.43868978809106	8.54068497246438	11.8586873158083	6.81212696557208	9.5403785301481
"GSM1369791"	"Control"	8.99571168204855	7.78281788874788	12.8608917144247	6.2064788725605	9.37887189662789
"GSM1369792"	"Control"	8.93685990818054	8.93756878649953	12.6794689141578	7.15282990014571	9.1688404812711
"GSM1369793"	"Control"	8.84094232290637	8.48933317812035	12.3957705716843	6.70678342484305	9.31878122495674
"GSM1369794"	"Control"	9.210952629423	8.32724777325238	11.9002050329295	6.4115022878775	9.82645739123882
"GSM1369795"	"Control"	9.34637977948349	8.34081118520187	11.7646921368704	6.34101171490734	9.96078978149134
"GSM1369796"	"OP"	8.63662903245687	8.72300178327445	13.0671552119778	6.53649229230884	9.73406247196177
"GSM1369797"	"OP"	8.4658200977947	8.73953466211059	12.9686723971976	6.97711909449934	10.1222034951876
"GSM1369798"	"OP"	9.17981087578102	9.10937809933536	13.9094859128755	6.89155201911944	9.44604872697908
